,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore,id
0,1546300800000,131.45,135.3,130.0,133.75,137228.71157,1546343999999,18233033.209546797,47524,73207.53931,9732605.036633398,0,
1,1546344000000,133.78,140.67,131.0,139.1,264548.1764,1546387199999,36047352.3885802,78275,131669.7317,17926381.5121557,0,
2,1546387200000,139.1,149.11,137.76,147.81,438377.91089,1546430399999,63081293.30190581,110286,196468.56543000002,28250053.3062026,0,
3,1546430400000,147.82,155.37,146.33,152.01,503108.40434999997,1546473599999,75720177.816746,142784,256309.84759000002,38576038.109288,0,
4,1546473600000,152.01,153.64,144.71,146.5,395785.29948,1546516799999,59276727.345123604,108129,191944.69972,28741660.210960902,0,
5,1546516800000,146.53,148.91,143.11,146.3,312306.01765999995,1546559999999,45676807.803389,98471,153120.62154000002,22405238.408077903,0,
6,1546560000000,146.3,154.8,143.54,149.34,413148.86787,1546603199999,62277679.1718853,112050,205639.93094,31003922.954038896,0,
7,1546603200000,149.38,153.98,144.66,151.97,392100.07034,1546646399999,58549462.3723426,112335,193163.96461999998,28874402.5737862,0,
8,1546646400000,152.08,159.26,151.95,155.92,450080.55556999997,1546689599999,70292137.20503679,129386,229816.28199999998,35904459.5153271,0,
9,1546689600000,155.92,156.98,151.2,152.83,323088.58179,1546732799999,49946202.577181906,101786,153290.21262,23710788.829545602,0,
10,1546732800000,152.83,153.87,147.51,152.5,294447.30852,1546775999999,44393640.36925451,93625,146518.15136000002,22089504.9958324,0,
11,1546776000000,152.53,157.4,150.1,153.86,333461.16513999994,1546819199999,51287699.0908103,110712,171841.71804,26436136.337939702,0,
12,1546819200000,153.89,155.48,148.33,151.36,231391.76552999998,1546862399999,35222063.5983216,84694,111602.07095000001,16994037.4873621,0,
13,1546862400000,151.37,152.4,147.86,149.34,193373.53704999998,1546905599999,29088899.3207112,72874,93943.24398999999,14138559.5707066,0,
14,1546905600000,149.29,150.64,145.2,149.66,214716.16295000003,1546948799999,31679664.217740104,81866,110351.63153000001,16279049.8332871,0,
15,1546948800000,149.67,151.65,147.0,147.6,226944.90482999998,1546991999999,33855865.5379992,88719,109854.18406999999,16386060.44811,0,
16,1546992000000,147.62,151.5,146.77,149.41,153280.47053,1547035199999,22979666.020861004,63729,82726.80531999998,12405554.646694701,0,
17,1547035200000,149.45,149.9,147.07,148.1,146163.09247,1547078399999,21693400.370720997,61629,71739.65534,10649551.4202258,0,
18,1547078400000,148.11,149.45,126.99,130.99,479231.75895000005,1547121599999,65053916.2785867,149691,238327.30899999998,32267670.680009294,0,
19,1547121600000,130.98,131.61,121.0,124.95,392519.99143,1547164799999,49383109.004141,141074,193835.47681000002,24399894.0978989,0,
20,1547164800000,124.96,127.36,120.08,122.71,285764.8307,1547207999999,35646354.40406711,100652,150507.34687,18783860.0772108,0,
21,1547208000000,122.71,126.45,120.59,124.65,259529.15298999997,1547251199999,32136461.9335316,96395,135883.08044,16826939.2032409,0,
22,1547251200000,124.67,125.81,122.6,124.05,149571.31590000002,1547294399999,18620467.9217119,60934,85038.26591000002,10590735.1623137,0,
23,1547294400000,124.04,126.19,122.0,123.35,150690.81814,1547337599999,18675398.4321224,61090,74022.39438000001,9183417.5839682,0,
24,1547337600000,123.35,123.66,122.27,122.83,73093.36139,1547380799999,8990741.366153302,35258,39108.23277,4811491.0120870005,0,
25,1547380800000,122.85,124.25,111.87,114.16,349468.60638,1547423999999,40530459.91031289,101747,189646.77068000002,21956058.3079044,0,
26,1547424000000,114.17,117.57,113.94,115.19,169809.61017,1547467199999,19669131.6190168,63841,92696.0724,10734223.4968625,0,
27,1547467200000,115.18,130.05,114.92,126.95,376610.79837,1547510399999,47132411.68601979,117233,190475.99325,23820850.4512872,0,
28,1547510400000,126.95,128.83,123.1,125.28,195900.79716000002,1547553599999,24730234.402367502,69814,96089.73501,12126049.046368,0,
29,1547553600000,125.28,129.4,116.0,118.95,453119.73254,1547596799999,55255295.1564033,131175,227294.47095999998,27658946.5273138,0,
30,1547596800000,118.93,122.81,118.52,121.53,184440.67471,1547639999999,22184186.705941603,83191,97207.76866999999,11694857.4427295,0,
31,1547640000000,121.53,126.88,118.78,121.48,329045.98001,1547683199999,40130039.2901016,109721,163249.80577,19912608.5666064,0,
32,1547683200000,121.49,121.99,116.8,120.08,224245.55215,1547726399999,26910785.337443203,87883,114271.59302,13722258.494179599,0,
33,1547726400000,120.08,122.99,118.4,121.54,223289.67500999998,1547769599999,26943283.873068504,81215,116920.80998,14116862.6532187,0,
34,1547769600000,121.56,121.98,119.63,120.46,114293.28091999999,1547812799999,13818954.145008499,51409,57370.34639,6936489.8252983,0,
35,1547812800000,120.46,121.14,117.66,119.17,121353.40308000002,1547855999999,14487017.5238769,61424,61204.04557999999,7310038.6572574,0,
36,1547856000000,119.16,125.29,119.14,123.49,182315.529,1547899199999,22347445.5640845,62619,93097.26106,11393976.3664077,0,
37,1547899200000,123.5,123.93,121.54,122.6,140988.26396,1547942399999,17367713.6008761,54568,66829.69612000001,8230999.9120559,0,
38,1547942400000,122.61,123.32,118.5,119.13,192740.56647999998,1547985599999,23445630.1985047,75629,91094.75170000001,11083548.4651473,0,
39,1547985600000,119.13,119.3,115.68,117.47,259052.28704,1548028799999,30388038.708130196,89312,131903.25462999998,15473036.3277122,0,
40,1548028800000,117.56,117.99,113.61,117.4,177241.47191999998,1548071999999,20575441.7301311,67499,90295.54551,10484047.1415835,0,
41,1548072000000,117.4,118.5,114.19,115.63,126391.46271,1548115199999,14682631.6981338,52039,61423.61351999999,7137392.6015711,0,
42,1548115200000,115.62,117.29,111.39,114.7,171156.7454,1548158399999,19704339.084408898,65717,84301.26244,9720167.327148201,0,
43,1548158400000,114.68,119.49,114.33,117.81,188385.89333,1548201599999,22073398.3860616,69080,107176.16399,12549449.7414239,0,
44,1548201600000,117.8,118.59,116.76,117.85,93147.51574999999,1548244799999,10975035.4930788,45075,46971.509659999996,5535650.5597378,0,
45,1548244800000,117.85,118.95,114.8,116.44,137100.10002999997,1548287999999,16000350.8993796,57918,69189.62255,8077639.4227074,0,
46,1548288000000,116.4,116.83,113.61,116.1,117227.90200999999,1548331199999,13541770.6920811,48300,57864.17947999999,6685953.650591,0,
47,1548331200000,116.12,117.15,115.04,116.39,99014.39628,1548374399999,11502495.062123,42322,51220.05137,5952421.7900725,0,
48,1548374400000,116.4,117.5,114.3,115.56,113298.5134,1548417599999,13132708.155907001,46773,56920.26836,6599897.5207980005,0,
49,1548417600000,115.52,116.94,114.55,115.11,85318.56768,1548460799999,9844467.798212301,38887,41642.222460000005,4806441.056520499,0,
50,1548460800000,115.13,118.0,115.0,116.23,89602.70897,1548503999999,10422782.3306312,37672,47504.20236,5526346.799961699,0,
51,1548504000000,116.24,116.45,115.1,115.34,56614.11922,1548547199999,6555603.8666065,30696,27720.48373,3211002.243238,0,
